subscription_id,customer_id,plan_id,plan_name,mrr_amount,arr_amount,start_date,end_date,status,billing_frequency
"sub_cust_000001_1","cust_000001","basic_annual","Basic Annual","24.166666666666668","290","2025-01-10","2025-02-06","churned","annual"
"sub_cust_000002_1","cust_000002","pro","Professional Plan","99","1188","2022-06-02","","active","monthly"
"sub_cust_000003_1","cust_000003","pro_annual","Professional Annual","82.5","990","2023-05-14","","active","annual"
"sub_cust_000004_1","cust_000004","pro","Professional Plan","99","1188","2023-10-24","","active","monthly"
"sub_cust_000005_1","cust_000005","pro_annual","Professional Annual","82.5","990","2022-03-19","2023-11-14","churned","annual"
"sub_cust_000006_1","cust_000006","pro","Professional Plan","99","1188","2023-12-21","","active","monthly"
"sub_cust_000007_1","cust_000007","enterprise","Enterprise Plan","299","3588","2022-12-22","","active","monthly"
"sub_cust_000008_1","cust_000008","pro","Professional Plan","99","1188","2023-12-21","","active","monthly"
"sub_cust_000009_1","cust_000009","enterprise","Enterprise Plan","299","3588","2024-11-03","2024-11-10","churned","monthly"
"sub_cust_000010_1","cust_000010","basic_annual","Basic Annual","24.166666666666668","290","2022-11-01","2024-05-19","churned","annual"
"sub_cust_000011_1","cust_000011","pro_annual","Professional Annual","82.5","990","2025-01-02","","active","annual"
"sub_cust_000012_1","cust_000012","pro_annual","Professional Annual","82.5","990","2025-03-30","","active","annual"
"sub_cust_000013_1","cust_000013","enterprise","Enterprise Plan","299","3588","2025-03-10","","active","monthly"
"sub_cust_000014_1","cust_000014","pro_annual","Professional Annual","82.5","990","2024-10-28","","active","annual"
"sub_cust_000015_1","cust_000015","basic","Basic Plan","29","348","2024-02-12","2024-07-18","churned","monthly"
"sub_cust_000016_1","cust_000016","basic","Basic Plan","29","348","2024-02-07","2024-11-21","churned","monthly"
"sub_cust_000017_1","cust_000017","basic_annual","Basic Annual","24.166666666666668","290","2025-05-19","","active","annual"
"sub_cust_000018_1","cust_000018","pro","Professional Plan","99","1188","2022-07-21","","active","monthly"
"sub_cust_000019_1","cust_000019","pro_annual","Professional Annual","82.5","990","2025-06-14","","active","annual"
"sub_cust_000020_1","cust_000020","basic_annual","Basic Annual","24.166666666666668","290","2024-07-04","2024-12-12","churned","annual"
"sub_cust_000021_1","cust_000021","enterprise","Enterprise Plan","299","3588","2025-04-14","2025-05-07","churned","monthly"
"sub_cust_000022_1","cust_000022","pro_annual","Professional Annual","82.5","990","2025-07-05","","active","annual"
"sub_cust_000023_1","cust_000023","pro","Professional Plan","99","1188","2023-07-10","","active","monthly"
"sub_cust_000024_1","cust_000024","pro","Professional Plan","99","1188","2024-09-25","","active","monthly"
"sub_cust_000025_1","cust_000025","pro","Professional Plan","99","1188","2022-12-05","","active","monthly"
"sub_cust_000026_1","cust_000026","enterprise","Enterprise Plan","299","3588","2025-08-15","","active","monthly"
"sub_cust_000027_1","cust_000027","basic","Basic Plan","29","348","2024-03-04","","active","monthly"
"sub_cust_000028_1","cust_000028","enterprise","Enterprise Plan","299","3588","2025-02-11","","active","monthly"
"sub_cust_000029_1","cust_000029","basic_annual","Basic Annual","24.166666666666668","290","2025-05-03","","active","annual"
"sub_cust_000030_1","cust_000030","pro","Professional Plan","99","1188","2023-12-15","","active","monthly"
"sub_cust_000031_1","cust_000031","basic_annual","Basic Annual","24.166666666666668","290","2025-03-19","2025-06-30","churned","annual"
"sub_cust_000032_1","cust_000032","pro","Professional Plan","99","1188","2024-12-04","","active","monthly"
"sub_cust_000033_1","cust_000033","basic_annual","Basic Annual","24.166666666666668","290","2024-05-31","","active","annual"
"sub_cust_000034_1","cust_000034","basic","Basic Plan","29","348","2022-11-26","2025-06-19","churned","monthly"
"sub_cust_000035_1","cust_000035","enterprise","Enterprise Plan","299","3588","2022-10-25","","active","monthly"
"sub_cust_000036_1","cust_000036","basic_annual","Basic Annual","24.166666666666668","290","2024-01-28","","active","annual"
"sub_cust_000037_1","cust_000037","enterprise","Enterprise Plan","299","3588","2022-11-12","","active","monthly"
"sub_cust_000038_1","cust_000038","enterprise","Enterprise Plan","299","3588","2023-09-24","","active","monthly"
"sub_cust_000039_1","cust_000039","enterprise","Enterprise Plan","299","3588","2023-05-02","","active","monthly"
"sub_cust_000040_1","cust_000040","basic_annual","Basic Annual","24.166666666666668","290","2022-11-20","","active","annual"
"sub_cust_000041_1","cust_000041","enterprise","Enterprise Plan","299","3588","2025-05-10","","active","monthly"
"sub_cust_000042_1","cust_000042","basic_annual","Basic Annual","24.166666666666668","290","2022-03-29","","active","annual"
"sub_cust_000043_1","cust_000043","enterprise","Enterprise Plan","299","3588","2022-09-19","","active","monthly"
"sub_cust_000044_1","cust_000044","basic","Basic Plan","29","348","2022-02-13","","active","monthly"
"sub_cust_000045_1","cust_000045","basic","Basic Plan","29","348","2024-04-03","","active","monthly"
"sub_cust_000046_1","cust_000046","basic_annual","Basic Annual","24.166666666666668","290","2022-02-15","","active","annual"
"sub_cust_000047_1","cust_000047","pro_annual","Professional Annual","82.5","990","2022-07-19","","active","annual"
"sub_cust_000048_1","cust_000048","basic_annual","Basic Annual","24.166666666666668","290","2023-04-16","","active","annual"
"sub_cust_000049_1","cust_000049","pro","Professional Plan","99","1188","2025-02-27","","active","monthly"
"sub_cust_000050_1","cust_000050","enterprise","Enterprise Plan","299","3588","2022-10-01","2023-07-14","churned","monthly"
"sub_cust_000051_1","cust_000051","pro","Professional Plan","99","1188","2023-11-26","","active","monthly"
"sub_cust_000052_1","cust_000052","pro_annual","Professional Annual","82.5","990","2024-03-03","","active","annual"
"sub_cust_000053_1","cust_000053","pro","Professional Plan","99","1188","2023-11-20","","active","monthly"
"sub_cust_000054_1","cust_000054","pro","Professional Plan","99","1188","2025-05-11","","active","monthly"
"sub_cust_000055_1","cust_000055","enterprise","Enterprise Plan","299","3588","2025-06-12","","active","monthly"
"sub_cust_000056_1","cust_000056","pro","Professional Plan","99","1188","2023-12-30","","active","monthly"
"sub_cust_000057_1","cust_000057","pro","Professional Plan","99","1188","2023-11-16","2024-08-13","churned","monthly"
"sub_cust_000058_1","cust_000058","pro_annual","Professional Annual","82.5","990","2025-04-29","","active","annual"
"sub_cust_000059_1","cust_000059","pro_annual","Professional Annual","82.5","990","2024-09-30","","active","annual"
"sub_cust_000060_1","cust_000060","basic","Basic Plan","29","348","2025-07-15","","active","monthly"
"sub_cust_000061_1","cust_000061","pro_annual","Professional Annual","82.5","990","2024-10-04","","active","annual"
"sub_cust_000062_1","cust_000062","enterprise","Enterprise Plan","299","3588","2024-01-31","","active","monthly"
"sub_cust_000063_1","cust_000063","pro","Professional Plan","99","1188","2022-12-16","","active","monthly"
"sub_cust_000064_1","cust_000064","basic_annual","Basic Annual","24.166666666666668","290","2023-09-02","2025-05-03","churned","annual"
"sub_cust_000065_1","cust_000065","basic","Basic Plan","29","348","2024-08-09","","active","monthly"
"sub_cust_000066_1","cust_000066","basic_annual","Basic Annual","24.166666666666668","290","2023-12-11","","active","annual"
"sub_cust_000067_1","cust_000067","pro","Professional Plan","99","1188","2023-01-05","","active","monthly"
"sub_cust_000068_1","cust_000068","pro","Professional Plan","99","1188","2023-07-15","","active","monthly"
"sub_cust_000069_1","cust_000069","enterprise","Enterprise Plan","299","3588","2022-11-20","","active","monthly"
"sub_cust_000070_1","cust_000070","pro","Professional Plan","99","1188","2023-08-06","2025-08-02","churned","monthly"
"sub_cust_000071_1","cust_000071","pro","Professional Plan","99","1188","2024-08-03","","active","monthly"
"sub_cust_000072_1","cust_000072","pro_annual","Professional Annual","82.5","990","2023-02-06","","active","annual"
"sub_cust_000073_1","cust_000073","pro_annual","Professional Annual","82.5","990","2022-02-05","","active","annual"
"sub_cust_000074_1","cust_000074","basic_annual","Basic Annual","24.166666666666668","290","2022-02-19","","active","annual"
"sub_cust_000075_1","cust_000075","pro","Professional Plan","99","1188","2024-03-18","","active","monthly"
"sub_cust_000076_1","cust_000076","enterprise","Enterprise Plan","299","3588","2023-12-27","","active","monthly"
