customer_id,company_name,industry,company_size,signup_date,country,contact_email,days_since_signup,months_since_signup
cust_000001,CloudFirst 1,Media,SMB (1-50),2025-01-10,Canada,contact1@scaleworks.com,219,7.194480946123521
cust_000002,DataFlow Inc 2,Media,Mid-Market (51-500),2022-06-02,Canada,contact2@startuphub.com,1172,38.50197109067017
cust_000003,StartupHub 3,Retail,Mid-Market (51-500),2023-05-14,Germany,contact3@devtools inc.com,826,27.135348226018397
cust_000004,StartupHub 4,Education,Enterprise (500+),2023-10-24,France,contact4@techcorp.com,663,21.780551905387647
cust_000005,StartupHub 5,Media,Enterprise (500+),2022-03-19,US,contact5@techcorp.com,1247,40.9658344283837
cust_000006,ScaleWorks 6,Media,Mid-Market (51-500),2023-12-21,Germany,contact6@growthco.com,605,19.87516425755585
cust_000007,StartupHub 7,Consulting,Enterprise (500+),2022-12-22,Germany,contact7@growthco.com,969,31.83311432325887
cust_000008,DevTools Inc 8,Healthcare,Mid-Market (51-500),2023-12-21,US,contact8@dataflow inc.com,605,19.87516425755585
cust_000009,CloudFirst 9,Retail,Enterprise (500+),2024-11-03,UK,contact9@techcorp.com,287,9.42838370565046
cust_000010,DevTools Inc 10,Finance,Enterprise (500+),2022-11-01,UK,contact10@devtools inc.com,1020,33.50854139290407
cust_000011,InnovateLab 11,Education,Mid-Market (51-500),2025-01-02,Australia,contact11@innovatelab.com,227,7.457293035479632
cust_000012,StartupHub 12,Manufacturing,Mid-Market (51-500),2025-03-30,Germany,contact12@cloudfirst.com,140,4.599211563731932
cust_000013,GrowthCo 13,Education,Enterprise (500+),2025-03-10,France,contact13@innovatelab.com,160,5.256241787122208
cust_000014,InnovateLab 14,Manufacturing,Mid-Market (51-500),2024-10-28,UK,contact14@innovatelab.com,293,9.625492772667542
cust_000015,DevTools Inc 15,Finance,SMB (1-50),2024-02-12,France,contact15@scaleworks.com,552,18.134034165571617
cust_000016,SaasMaster 16,Education,SMB (1-50),2024-02-07,UK,contact16@cloudtech.com,557,18.298291721419183
cust_000017,TechCorp 17,Education,Enterprise (500+),2025-05-19,Australia,contact17@scaleworks.com,90,2.9566360052562417
cust_000018,SaasMaster 18,Technology,Enterprise (500+),2022-07-21,France,contact18@growthco.com,1123,36.892247043363994
cust_000019,InnovateLab 19,Education,SMB (1-50),2025-06-14,France,contact19@saasmaster.com,64,2.102496714848883
cust_000020,InnovateLab 20,Education,Mid-Market (51-500),2024-07-04,UK,contact20@cloudtech.com,409,13.436268068331144
cust_000021,CloudFirst 21,Manufacturing,Enterprise (500+),2025-04-14,UK,contact21@techcorp.com,125,4.106438896189225
cust_000022,StartupHub 22,Consulting,Mid-Market (51-500),2025-07-05,US,contact22@devtools inc.com,43,1.4126149802890933
cust_000023,GrowthCo 23,Technology,Enterprise (500+),2023-07-10,Germany,contact23@dataflow inc.com,769,25.26281208935611
cust_000024,GrowthCo 24,Technology,SMB (1-50),2024-09-25,Canada,contact24@dataflow inc.com,326,10.709592641261498
cust_000025,GrowthCo 25,Retail,SMB (1-50),2022-12-05,Germany,contact25@startuphub.com,986,32.3915900131406
cust_000026,GrowthCo 26,Education,Mid-Market (51-500),2025-08-15,UK,contact26@cloudfirst.com,2,0.0657030223390276
cust_000027,ScaleWorks 27,Consulting,Enterprise (500+),2024-03-04,Germany,contact27@startuphub.com,531,17.444152431011826
cust_000028,DevTools Inc 28,Retail,SMB (1-50),2025-02-11,Canada,contact28@startuphub.com,187,6.14323258869908
cust_000029,ScaleWorks 29,Education,SMB (1-50),2025-05-03,US,contact29@scaleworks.com,106,3.4822601839684624
cust_000030,ScaleWorks 30,Education,SMB (1-50),2023-12-15,UK,contact30@techcorp.com,611,20.07227332457293
cust_000031,InnovateLab 31,Education,Enterprise (500+),2025-03-19,France,contact31@innovatelab.com,151,4.9605781865965834
cust_000032,CloudTech 32,Technology,Enterprise (500+),2024-12-04,France,contact32@growthco.com,256,8.409986859395532
cust_000033,SaasMaster 33,Healthcare,Mid-Market (51-500),2024-05-31,US,contact33@dataflow inc.com,443,14.553219448094612
cust_000034,StartupHub 34,Technology,Mid-Market (51-500),2022-11-26,Canada,contact34@devtools inc.com,995,32.68725361366623
cust_000035,DevTools Inc 35,Healthcare,Mid-Market (51-500),2022-10-25,Germany,contact35@cloudfirst.com,1027,33.73850197109067
cust_000036,InnovateLab 36,Media,Mid-Market (51-500),2024-01-28,Germany,contact36@scaleworks.com,567,18.626806833114323
cust_000037,SaasMaster 37,Retail,SMB (1-50),2022-11-12,US,contact37@techcorp.com,1009,33.14717477003942
cust_000038,DataFlow Inc 38,Consulting,SMB (1-50),2023-09-24,Canada,contact38@scaleworks.com,693,22.766097240473062
cust_000039,StartupHub 39,Retail,SMB (1-50),2023-05-02,Canada,contact39@dataflow inc.com,838,27.529566360052563
cust_000040,DevTools Inc 40,Education,Enterprise (500+),2022-11-20,Australia,contact40@cloudtech.com,1001,32.88436268068331
cust_000041,SaasMaster 41,Consulting,Mid-Market (51-500),2025-05-10,UK,contact41@startuphub.com,99,3.252299605781866
cust_000042,DataFlow Inc 42,Finance,Enterprise (500+),2022-03-29,France,contact42@startuphub.com,1237,40.63731931668857
cust_000043,GrowthCo 43,Consulting,Mid-Market (51-500),2022-09-19,Canada,contact43@dataflow inc.com,1063,34.92115637319316
cust_000044,InnovateLab 44,Healthcare,Mid-Market (51-500),2022-02-13,Australia,contact44@startuphub.com,1281,42.08278580814717
cust_000045,CloudFirst 45,Finance,Mid-Market (51-500),2024-04-03,UK,contact45@innovatelab.com,501,16.45860709592641
cust_000046,SaasMaster 46,Finance,Enterprise (500+),2022-02-15,UK,contact46@devtools inc.com,1279,42.01708278580814
cust_000047,TechCorp 47,Education,Mid-Market (51-500),2022-07-19,Australia,contact47@cloudtech.com,1125,36.957950065703024
cust_000048,StartupHub 48,Technology,Mid-Market (51-500),2023-04-16,France,contact48@innovatelab.com,854,28.055190538764784
cust_000049,DevTools Inc 49,Finance,Mid-Market (51-500),2025-02-27,Germany,contact49@cloudfirst.com,171,5.617608409986859
cust_000050,GrowthCo 50,Education,Mid-Market (51-500),2022-10-01,US,contact50@cloudtech.com,1051,34.526938239159
cust_000051,DevTools Inc 51,Media,Enterprise (500+),2023-11-26,Germany,contact51@techcorp.com,630,20.69645203679369
cust_000052,CloudTech 52,Finance,SMB (1-50),2024-03-03,US,contact52@growthco.com,532,17.47700394218134
cust_000053,TechCorp 53,Finance,SMB (1-50),2023-11-20,US,contact53@innovatelab.com,636,20.893561103810775
cust_000054,ScaleWorks 54,Retail,Mid-Market (51-500),2025-05-11,Germany,contact54@devtools inc.com,98,3.219448094612352
cust_000055,TechCorp 55,Manufacturing,SMB (1-50),2025-06-12,UK,contact55@innovatelab.com,66,2.1681997371879107
cust_000056,GrowthCo 56,Finance,SMB (1-50),2023-12-30,US,contact56@cloudtech.com,596,19.579500657030223
cust_000057,GrowthCo 57,Consulting,SMB (1-50),2023-11-16,US,contact57@dataflow inc.com,640,21.02496714848883
cust_000058,SaasMaster 58,Technology,SMB (1-50),2025-04-29,Germany,contact58@growthco.com,110,3.6136662286465175
cust_000059,TechCorp 59,Media,Enterprise (500+),2024-09-30,UK,contact59@innovatelab.com,321,10.545335085413928
cust_000060,ScaleWorks 60,Consulting,Mid-Market (51-500),2025-07-15,France,contact60@startuphub.com,33,1.0840998685939554
cust_000061,SaasMaster 61,Manufacturing,Mid-Market (51-500),2024-10-04,US,contact61@scaleworks.com,317,10.413929040735873
cust_000062,DataFlow Inc 62,Education,SMB (1-50),2024-01-31,US,contact62@saasmaster.com,564,18.528252299605782
cust_000063,SaasMaster 63,Technology,Mid-Market (51-500),2022-12-16,Germany,contact63@growthco.com,975,32.03022339027595
cust_000064,StartupHub 64,Media,Enterprise (500+),2023-09-02,Canada,contact64@growthco.com,715,23.488830486202364
cust_000065,SaasMaster 65,Technology,SMB (1-50),2024-08-09,UK,contact65@dataflow inc.com,373,12.253613666228645
cust_000066,StartupHub 66,Media,Mid-Market (51-500),2023-12-11,Germany,contact66@saasmaster.com,615,20.203679369250985
cust_000067,CloudTech 67,Education,Mid-Market (51-500),2023-01-05,Australia,contact67@cloudtech.com,955,31.373193166885674
cust_000068,GrowthCo 68,Retail,Mid-Market (51-500),2023-07-15,Australia,contact68@startuphub.com,764,25.09855453350854
cust_000069,DataFlow Inc 69,Retail,Enterprise (500+),2022-11-20,UK,contact69@innovatelab.com,1001,32.88436268068331
cust_000070,CloudFirst 70,Manufacturing,Mid-Market (51-500),2023-08-06,US,contact70@dataflow inc.com,742,24.375821287779235
cust_000071,DevTools Inc 71,Consulting,Mid-Market (51-500),2024-08-03,France,contact71@devtools inc.com,379,12.450722733245728
cust_000072,DevTools Inc 72,Education,SMB (1-50),2023-02-06,France,contact72@devtools inc.com,923,30.321944809461232
cust_000073,ScaleWorks 73,Manufacturing,Enterprise (500+),2022-02-05,France,contact73@startuphub.com,1289,42.34559789750328
cust_000074,ScaleWorks 74,Healthcare,SMB (1-50),2022-02-19,Germany,contact74@saasmaster.com,1275,41.88567674113009
cust_000075,ScaleWorks 75,Technology,Enterprise (500+),2024-03-18,Canada,contact75@saasmaster.com,517,16.98423127463863
cust_000076,CloudFirst 76,Retail,Enterprise (500+),2023-12-27,US,contact76@cloudtech.com,599,19.678055190538764
cust_000077,CloudTech 77,Consulting,Mid-Market (51-500),2024-05-27,Canada,contact77@techcorp.com,447,14.684625492772668
cust_000078,TechCorp 78,Retail,Enterprise (500+),2022-04-28,UK,contact78@techcorp.com,1207,39.65177398160315
cust_000079,StartupHub 79,Media,Enterprise (500+),2023-01-13,US,contact79@innovatelab.com,947,31.110381077529563
cust_000080,DataFlow Inc 80,Finance,Mid-Market (51-500),2023-11-23,UK,contact80@cloudtech.com,633,20.795006570302235
cust_000081,SaasMaster 81,Manufacturing,Enterprise (500+),2023-05-28,France,contact81@scaleworks.com,812,26.675427069645202
cust_000082,SaasMaster 82,Manufacturing,Enterprise (500+),2023-07-22,Australia,contact82@techcorp.com,757,24.868593955321945
cust_000083,DevTools Inc 83,Finance,Enterprise (500+),2024-08-04,Australia,contact83@saasmaster.com,378,12.417871222076215
cust_000084,CloudFirst 84,Retail,Enterprise (500+),2024-10-04,US,contact84@dataflow inc.com,317,10.413929040735873
cust_000085,TechCorp 85,Manufacturing,Mid-Market (51-500),2025-07-23,Canada,contact85@cloudtech.com,25,0.8212877792378449
cust_000086,ScaleWorks 86,Healthcare,Mid-Market (51-500),2023-03-26,France,contact86@techcorp.com,875,28.74507227332457
cust_000087,DataFlow Inc 87,Healthcare,SMB (1-50),2023-11-14,US,contact87@cloudtech.com,642,21.090670170827856
cust_000088,ScaleWorks 88,Healthcare,Enterprise (500+),2023-06-20,US,contact88@cloudfirst.com,789,25.919842312746386
cust_000089,GrowthCo 89,Education,Enterprise (500+),2022-09-23,France,contact89@innovatelab.com,1059,34.78975032851511
cust_000090,TechCorp 90,Education,Mid-Market (51-500),2022-09-08,Germany,contact90@growthco.com,1074,35.282522996057814
cust_000091,ScaleWorks 91,Technology,Enterprise (500+),2023-09-26,France,contact91@dataflow inc.com,691,22.700394218134033
cust_000092,CloudFirst 92,Consulting,SMB (1-50),2025-08-10,France,contact92@cloudtech.com,7,0.22996057818659657
cust_000093,CloudTech 93,Consulting,Mid-Market (51-500),2024-11-13,UK,contact93@techcorp.com,277,9.099868593955321
cust_000094,InnovateLab 94,Manufacturing,Enterprise (500+),2024-09-26,US,contact94@cloudtech.com,325,10.676741130091983
cust_000095,CloudFirst 95,Manufacturing,SMB (1-50),2025-03-18,Germany,contact95@growthco.com,152,4.993429697766097
cust_000096,GrowthCo 96,Retail,SMB (1-50),2023-12-04,UK,contact96@innovatelab.com,622,20.43363994743758
cust_000097,StartupHub 97,Media,Enterprise (500+),2022-05-16,Germany,contact97@saasmaster.com,1189,39.060446780551906
cust_000098,InnovateLab 98,Consulting,Mid-Market (51-500),2022-09-17,UK,contact98@cloudfirst.com,1065,34.98685939553219
cust_000099,CloudFirst 99,Retail,Mid-Market (51-500),2024-11-15,US,contact99@startuphub.com,275,9.034165571616294
cust_000100,CloudFirst 100,Retail,Mid-Market (51-500),2022-04-02,UK,contact100@devtools inc.com,1233,40.50591327201051
cust_000101,GrowthCo 101,Finance,Enterprise (500+),2023-09-15,Germany,contact101@dataflow inc.com,702,23.061760840998684
cust_000102,InnovateLab 102,Education,Mid-Market (51-500),2022-07-26,US,contact102@cloudfirst.com,1118,36.727989487516425
cust_000103,DevTools Inc 103,Education,Enterprise (500+),2024-06-08,France,contact103@dataflow inc.com,435,14.290407358738502
cust_000104,TechCorp 104,Technology,SMB (1-50),2022-12-21,US,contact104@scaleworks.com,970,31.865965834428383
cust_000105,ScaleWorks 105,Manufacturing,SMB (1-50),2025-04-01,Australia,contact105@devtools inc.com,138,4.533508541392904
cust_000106,DataFlow Inc 106,Retail,Mid-Market (51-500),2022-10-31,UK,contact106@startuphub.com,1021,33.54139290407359
cust_000107,GrowthCo 107,Finance,Mid-Market (51-500),2024-11-18,US,contact107@growthco.com,272,8.935611038107753
cust_000108,DevTools Inc 108,Retail,SMB (1-50),2022-06-04,UK,contact108@saasmaster.com,1170,38.43626806833114
cust_000109,SaasMaster 109,Education,SMB (1-50),2024-07-16,France,contact109@techcorp.com,397,13.042049934296976
cust_000110,SaasMaster 110,Technology,SMB (1-50),2023-04-15,US,contact110@saasmaster.com,855,28.088042049934295
cust_000111,ScaleWorks 111,Media,SMB (1-50),2022-04-18,US,contact111@scaleworks.com,1217,39.98028909329829
cust_000112,DataFlow Inc 112,Healthcare,Enterprise (500+),2022-04-28,Germany,contact112@growthco.com,1207,39.65177398160315
cust_000113,DevTools Inc 113,Retail,Enterprise (500+),2022-04-27,Canada,contact113@innovatelab.com,1208,39.68462549277267
cust_000114,ScaleWorks 114,Technology,Enterprise (500+),2022-07-16,France,contact114@dataflow inc.com,1128,37.056504599211564
cust_000115,TechCorp 115,Consulting,Mid-Market (51-500),2025-04-17,Germany,contact115@scaleworks.com,122,4.0078843626806835
cust_000116,StartupHub 116,Manufacturing,Mid-Market (51-500),2022-09-07,US,contact116@devtools inc.com,1075,35.31537450722733
cust_000117,GrowthCo 117,Manufacturing,Mid-Market (51-500),2023-01-19,France,contact117@techcorp.com,941,30.913272010512483
cust_000118,ScaleWorks 118,Manufacturing,SMB (1-50),2022-09-16,US,contact118@saasmaster.com,1066,35.019710906701704
cust_000119,SaasMaster 119,Finance,Mid-Market (51-500),2024-09-21,UK,contact119@devtools inc.com,330,10.840998685939553
