customer_id,company_name,industry,company_size,signup_date,country,contact_email
"cust_000001","CloudFirst 1","Media","SMB (1-50)","2025-01-10","Canada","contact1@scaleworks.com"
"cust_000002","DataFlow Inc 2","Media","Mid-Market (51-500)","2022-06-02","Canada","contact2@startuphub.com"
"cust_000003","StartupHub 3","Retail","Mid-Market (51-500)","2023-05-14","Germany","contact3@devtools inc.com"
"cust_000004","StartupHub 4","Education","Enterprise (500+)","2023-10-24","France","contact4@techcorp.com"
"cust_000005","StartupHub 5","Media","Enterprise (500+)","2022-03-19","US","contact5@techcorp.com"
"cust_000006","ScaleWorks 6","Media","Mid-Market (51-500)","2023-12-21","Germany","contact6@growthco.com"
"cust_000007","StartupHub 7","Consulting","Enterprise (500+)","2022-12-22","Germany","contact7@growthco.com"
"cust_000008","DevTools Inc 8","Healthcare","Mid-Market (51-500)","2023-12-21","US","contact8@dataflow inc.com"
"cust_000009","CloudFirst 9","Retail","Enterprise (500+)","2024-11-03","UK","contact9@techcorp.com"
"cust_000010","DevTools Inc 10","Finance","Enterprise (500+)","2022-11-01","UK","contact10@devtools inc.com"
"cust_000011","InnovateLab 11","Education","Mid-Market (51-500)","2025-01-02","Australia","contact11@innovatelab.com"
"cust_000012","StartupHub 12","Manufacturing","Mid-Market (51-500)","2025-03-30","Germany","contact12@cloudfirst.com"
"cust_000013","GrowthCo 13","Education","Enterprise (500+)","2025-03-10","France","contact13@innovatelab.com"
"cust_000014","InnovateLab 14","Manufacturing","Mid-Market (51-500)","2024-10-28","UK","contact14@innovatelab.com"
"cust_000015","DevTools Inc 15","Finance","SMB (1-50)","2024-02-12","France","contact15@scaleworks.com"
"cust_000016","SaasMaster 16","Education","SMB (1-50)","2024-02-07","UK","contact16@cloudtech.com"
"cust_000017","TechCorp 17","Education","Enterprise (500+)","2025-05-19","Australia","contact17@scaleworks.com"
"cust_000018","SaasMaster 18","Technology","Enterprise (500+)","2022-07-21","France","contact18@growthco.com"
"cust_000019","InnovateLab 19","Education","SMB (1-50)","2025-06-14","France","contact19@saasmaster.com"
"cust_000020","InnovateLab 20","Education","Mid-Market (51-500)","2024-07-04","UK","contact20@cloudtech.com"
"cust_000021","CloudFirst 21","Manufacturing","Enterprise (500+)","2025-04-14","UK","contact21@techcorp.com"
"cust_000022","StartupHub 22","Consulting","Mid-Market (51-500)","2025-07-05","US","contact22@devtools inc.com"
"cust_000023","GrowthCo 23","Technology","Enterprise (500+)","2023-07-10","Germany","contact23@dataflow inc.com"
"cust_000024","GrowthCo 24","Technology","SMB (1-50)","2024-09-25","Canada","contact24@dataflow inc.com"
"cust_000025","GrowthCo 25","Retail","SMB (1-50)","2022-12-05","Germany","contact25@startuphub.com"
"cust_000026","GrowthCo 26","Education","Mid-Market (51-500)","2025-08-15","UK","contact26@cloudfirst.com"
"cust_000027","ScaleWorks 27","Consulting","Enterprise (500+)","2024-03-04","Germany","contact27@startuphub.com"
"cust_000028","DevTools Inc 28","Retail","SMB (1-50)","2025-02-11","Canada","contact28@startuphub.com"
"cust_000029","ScaleWorks 29","Education","SMB (1-50)","2025-05-03","US","contact29@scaleworks.com"
"cust_000030","ScaleWorks 30","Education","SMB (1-50)","2023-12-15","UK","contact30@techcorp.com"
"cust_000031","InnovateLab 31","Education","Enterprise (500+)","2025-03-19","France","contact31@innovatelab.com"
"cust_000032","CloudTech 32","Technology","Enterprise (500+)","2024-12-04","France","contact32@growthco.com"
"cust_000033","SaasMaster 33","Healthcare","Mid-Market (51-500)","2024-05-31","US","contact33@dataflow inc.com"
"cust_000034","StartupHub 34","Technology","Mid-Market (51-500)","2022-11-26","Canada","contact34@devtools inc.com"
"cust_000035","DevTools Inc 35","Healthcare","Mid-Market (51-500)","2022-10-25","Germany","contact35@cloudfirst.com"
"cust_000036","InnovateLab 36","Media","Mid-Market (51-500)","2024-01-28","Germany","contact36@scaleworks.com"
