transaction_id,customer_id,subscription_id,transaction_date,transaction_type,amount,plan_id,description,year,month,year_month,quarter,annualized_amount
txn_cust_000001_1,cust_000001,sub_cust_000001_1,2025-01-10,new,24.166666666666668,basic_annual,New Basic Annual subscription,2025,1,2025-01,1,290.0
txn_cust_000002_1,cust_000002,sub_cust_000002_1,2022-06-02,new,99.0,pro,New Professional Plan subscription,2022,6,2022-06,2,1188.0
txn_cust_000002_2,cust_000002,sub_cust_000002_1,2022-07-02,recurring,99.0,pro,Recurring payment for Professional Plan,2022,7,2022-07,3,1188.0
txn_cust_000002_3,cust_000002,sub_cust_000002_1,2022-08-02,recurring,99.0,pro,Recurring payment for Professional Plan,2022,8,2022-08,3,1188.0
txn_cust_000002_4,cust_000002,sub_cust_000002_1,2022-09-02,recurring,99.0,pro,Recurring payment for Professional Plan,2022,9,2022-09,3,1188.0
txn_cust_000002_5,cust_000002,sub_cust_000002_1,2022-10-02,recurring,99.0,pro,Recurring payment for Professional Plan,2022,10,2022-10,4,1188.0
txn_cust_000002_6,cust_000002,sub_cust_000002_1,2022-11-02,recurring,99.0,pro,Recurring payment for Professional Plan,2022,11,2022-11,4,1188.0
txn_cust_000002_7,cust_000002,sub_cust_000002_1,2022-12-02,recurring,99.0,pro,Recurring payment for Professional Plan,2022,12,2022-12,4,1188.0
txn_cust_000002_8,cust_000002,sub_cust_000002_1,2023-01-02,recurring,99.0,pro,Recurring payment for Professional Plan,2023,1,2023-01,1,1188.0
txn_cust_000002_9,cust_000002,sub_cust_000002_1,2023-02-02,recurring,99.0,pro,Recurring payment for Professional Plan,2023,2,2023-02,1,1188.0
txn_cust_000002_10,cust_000002,sub_cust_000002_1,2023-03-02,recurring,99.0,pro,Recurring payment for Professional Plan,2023,3,2023-03,1,1188.0
txn_cust_000002_11,cust_000002,sub_cust_000002_1,2023-04-02,recurring,99.0,pro,Recurring payment for Professional Plan,2023,4,2023-04,2,1188.0
txn_cust_000002_12,cust_000002,sub_cust_000002_1,2023-05-02,recurring,99.0,pro,Recurring payment for Professional Plan,2023,5,2023-05,2,1188.0
txn_cust_000002_13,cust_000002,sub_cust_000002_1,2023-06-02,recurring,99.0,pro,Recurring payment for Professional Plan,2023,6,2023-06,2,1188.0
txn_cust_000002_14,cust_000002,sub_cust_000002_1,2023-07-02,recurring,99.0,pro,Recurring payment for Professional Plan,2023,7,2023-07,3,1188.0
txn_cust_000002_15,cust_000002,sub_cust_000002_1,2023-08-02,recurring,99.0,pro,Recurring payment for Professional Plan,2023,8,2023-08,3,1188.0
txn_cust_000002_16,cust_000002,sub_cust_000002_1,2023-09-02,recurring,99.0,pro,Recurring payment for Professional Plan,2023,9,2023-09,3,1188.0
txn_cust_000002_17,cust_000002,sub_cust_000002_1,2023-10-02,recurring,99.0,pro,Recurring payment for Professional Plan,2023,10,2023-10,4,1188.0
txn_cust_000002_18,cust_000002,sub_cust_000002_1,2023-11-02,recurring,99.0,pro,Recurring payment for Professional Plan,2023,11,2023-11,4,1188.0
txn_cust_000002_19,cust_000002,sub_cust_000002_1,2023-12-02,recurring,99.0,pro,Recurring payment for Professional Plan,2023,12,2023-12,4,1188.0
txn_cust_000002_20,cust_000002,sub_cust_000002_1,2024-01-02,recurring,99.0,pro,Recurring payment for Professional Plan,2024,1,2024-01,1,1188.0
txn_cust_000002_21,cust_000002,sub_cust_000002_1,2024-02-02,recurring,99.0,pro,Recurring payment for Professional Plan,2024,2,2024-02,1,1188.0
